1,Fake Information Going Around About The YouTube Shooting
2,Hurricane Sandy shark & Statue of Liberty
3,Hurricane Harvey- shark in the street
4,child's heart infected with a dog parasite
5,"The press pass in this doctored photo is from Apple Daily’s Taiwan bureau, not Hong Kong"
6,"The man in this photo works for the New York Times and is messaging journalists, not protesters"
7,False reports claim US missionary underwent FGM in Kenya (video)
8,This is an old video of a training exercise by South Korean riot police
9,A wildlife photographer’s frustration at the false story circulating alongside her award-winning picture
10,These photos actually show a Hong Kong protester holding a baton after he grabbed it from a police officer
11,"This video shows Chinese soldiers at a railway station in Guangzhou, China"
12,These whales died in England -- scientists said they did not die from 'man-made trauma'
13,"This photo shows a snow-covered mountain in California, not Indonesia"
14,The photo actually shows an installation by Cuban artists at Art Basel 2012 in Switzerland
15,This photo shows a man's injured finger after a fight in Taiwan -- it is not related to Hong Kong
16,This photo of pork crisps from Bali has been doctored to add the ‘halal’ label
17,Does This Photograph Show a 110-Pound Squirrel?
18,"Does This Photograph Show Pipe-Bombing Suspect Cesar Sayoc With a ‘Known Democrat,’ Proving a Hoax Conspiracy?"
19,Is This a Photograph of Tree of Life Synagogue Shooting Victim Rose Mallinger?
20,Does This Photograph Show Trash Left Behind by the Central American Caravan?
21,Do These Photographs Show Central American Caravan Members Traveling by Train and Bus?
22,Do These Photographs Show a Nazi Flag and Homophobic Merchandise at a Trump Rally in Pennsylvania?
23,Is This a Photograph of Hurricane Michael?
24,Is This a Photograph of Nazi SS Troops Shooting a Child?
25,Is This a Photograph of a Florida Airport Flooded During Hurricane Michael?
26,Is This a Photograph of Tom Hanks Wearing an Anti-Trump T-Shirt?
27,Rumors of immigration enforcement during El Paso mass shooting false
28,Is This a Photograph of a ‘Rainbow Butterfly’? (edited pic)
29,Does This Photograph Show Barack Obama Holding a ‘Michelle Obama 2020’ Shirt?
30,Do These Photographs Show a Protester Paid to Disrupt the Kavanaugh Confirmation Hearings?
31,Is This a Photograph of Donald Trump with Tupac Shakur? (edited pic)
32,Is This a Photograph of a Wasted Brett Kavanaugh?
33,Is This a Photograph of Christine Blasey Ford’s Lawyer with Hillary Clinton?
34,Was This Photograph Taken at a Trump Protest?
35,Does This Photograph Show a Nude Man Walking the Runway with a Group of Young Girls?
36,Is This a Photograph of Christine Blasey Ford Partying?
37,Does This Photograph Show Irish Slaves in the United States
38,Does This Photograph Show a Woman Abused by Keith Ellison?
39,This image shows astronauts training and is being used out of context
40,There is no evidence to say why this veteran is crying
41,This photo of an elephant carrying a lion cub is an April Fools' joke
42,This is not a photo of women of the Red Cross landing at Normandy
43,This photo does not show a French police officer pepper spraying a protester
44,This picture doesn’t show a woman making an offensive gesture at Jeremy Corbyn (pic edited)
45,There is no evidence to suggest Nigel Farage was a member of the National Front.
46,This image does not show Nigel Farage wearing a gollywog badge (pic edited)
47,This is not a picture of a mum snorting drugs in front of a child
48,There is no EU police force being rolled out in the UK
49,This Diane Abbott poster is fake (edited pic)
50,This image does not show a woman about to be stoned to death under Sharia law
51,This isn’t a picture of Angela Merkel and Adolf Hitler
52,"No, this image doesn’t show Merkel, May and the Lithuanian president hanging out as teenagers"
53,This picture doesn’t show a horse found living in a flat in Preston
54,There is no evidence to suggest Theresa May said this about lesbianism
55,These Mark Field tweets are fake
56,Donald Tusk’s grandfather was not in the SS
57,This picture does not show Fidel Castro holding Justin Trudeau as a baby
58,This sign saying the tube in summer smells like 16-year-old ham is fake (pic edited)
59,This picture doesn’t show someone wearing a hazmat suit to install 5G
60,This is not a video of “migrant hordes” attacking Danish police
61,This video does not show Muslims in Birmingham attacking cars during Ramadan
62,This video doesn't show a church in Pakistan being burned in retaliation for the New Zealand attacks
63,This video doesn’t show the final moments of the Ethiopian Airlines flight that crashed in March
64,Is Maria Miller really anti-equality?
65,"Image Shows ’85 Live Aid Concert, Not Trump Rally"
66,Facebook Post Mischaracterizes Cow Study
67,Obama-Rouhani Photo Is Not Real (pic edited)
68,Trump’s Hand Was Over Heart at Bush Funeral
69,This isn’t a real sign at a protest
70,a Japanese woman who converted to Islam
71,a young American girl who got cancer from her vaccines
72,one of the suicide bombers in Sri Lanka’s Easter Sunday 2019 attacks
73,"a family that receives $1,400 per week in government welfare payments after arriving in Australia"
74,killings by Fulani herders on Nigeria’s Abuja-Jos road
75,environmentalists for trashing a park on Earth Day
76,Youngest Parents in the World
77,SUSAN B. ANTHONY BEING BEATEN IN THE STREETS
78,MICHELLE OBAMA TEXTING DURING THE PLEDGE OF ALLEGIANCE
79,a photo of a deer covered in tumours due to eating plants sprayed with the weedkiller Roundup
80,"Photo Shows Woodstock, Not a Trump Rally"
81,a giant Japanese emperor moth
82,"This flooded classroom was in Kenya, not Nigeria"
83,New Zealand’s prime minister wearing a neon burqa
84,Decades-Old Video Doesn’t Show Congresswoman
85,a protest against electronic vote machine tampering in India
86,Muslim protesters eating at a 2019 post-election rally in Jakarta during Ramadan
87,priests calling for the Philippine vice president’s impeachment
88,Donald Trump’s British Fans?
89,"Redfern, Australia"
90,the same woman after three different mass shootings in America
91,supporters of Rahul Gandhi crying after his election defeat
92,"black protesters in Melbourne, Australia"
93,US military firing at pirates
